40:0	0:1	54:2	55:2	67:2	69:8	74:7	76:2	84:2	89:2	90:3	100:2	59:3;0:0.2924896068878182	1:0.7075103931121819;40:world	0:40	54:0	55:0	67:0	69:0	74:0	76:0	84:0	89:0	90:0	100:0	59:55
8:0	0:2	53:16	58:3	61:4	62:8	64:5	66:3	72:4	75:4	81:13	94:7	95:3	98:3	87:5	70:19;0:0.9999481656047283	1:5.183439527169805e-05;8:world	0:8	53:0	58:0	61:0	62:0	64:0	66:0	72:0	75:0	81:0	94:0	95:0	98:0	87:75	70:53
21:0;0:2.1682549544579637e-22	1:1.0;21:world
39:0	0:1	51:8	60:5	65:8	67:2	69:5	76:2	84:2	88:2	99:5	100:3	90:8	91:6	71:9	68:9;0:8.416048185961423e-10	1:0.9999999991583951;39:world	0:39	51:0	60:0	65:0	67:0	69:0	76:0	84:0	88:0	99:0	100:0	90:60	91:60	71:51	68:65
97:0;0:6.754585860969873e-05	1:0.9999324541413904;97:world
19:0	37:1;0:1.0	1:3.6298459570000634e-17;19:world	37:19
11:0;0:3.4569553304842115e-06	1:0.9999965430446696;11:world
85:0;0:1.0	1:1.565016503748788e-65;85:world
81:0;0:1.0	1:1.5310151040276972e-24;81:world
14:0;0:6.763502496938759e-41	1:1.0;14:world
36:0;0:3.9545665862879157e-53	1:1.0;36:world
50:0;0:1.0	1:1.723243299360052e-114;50:world
46:0;0:0.9999999861243437	1:1.3875656241211309e-08;46:world
65:0	68:1	100:8;0:2.653645018313395e-34	1:1.0;65:world	68:65	100:65
26:0	0:4	52:7	53:7	57:7	61:7	66:5	70:13	75:11	80:5	85:5	89:7	92:6	93:9	94:13	96:5	98:5	55:10	78:13	58:8	64:8	95:13	87:12;0:1.0	1:3.451339401351753e-46;26:world	0:26	52:0	53:0	57:0	61:0	66:0	70:0	75:0	80:0	85:0	89:0	92:0	93:0	94:0	96:0	98:0	55:52	78:52	58:53	64:53	95:53	87:75
23:0	0:10	55:14	57:17	58:11	62:23	64:15	66:11	72:15	75:11	78:12	85:11	87:12	89:16	93:12	95:11	96:15	98:17;0:1.0	1:1.0985041569100453e-47;23:world	0:23	55:0	57:0	58:0	62:0	64:0	66:0	72:0	75:0	78:0	85:0	87:75	89:0	93:0	95:0	96:0	98:0
94:0;0:0.9999999999999984	1:1.5884278889337403e-15;94:world
69:0;0:8.210338613815834e-30	1:1.0;69:world
39:0	0:1	51:17	56:21	59:3	60:2	67:2	69:3	76:2	84:2	88:2	65:3	71:3	91:3	68:4	100:7	74:19;0:1.7573391906877318e-80	1:1.0;39:world	0:39	51:0	56:0	59:0	60:0	67:0	69:0	76:0	84:0	88:0	65:60	71:60	91:60	68:65	100:65	74:51
